#                                                                                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                                                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                                                                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Sp_647675897_NZ_DS999947|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria_4         -          PC_00003             PC_00003       7e-91  296.3   0.3   7.9e-91  296.2   0.3   1.0   1   0   0   1   1   1   1 # 2508 # 3536 # -1 # ID=3_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1 -          PC_00003             PC_00003     7.9e-21   66.0   0.0   1.2e-20   65.5   0.0   1.2   1   0   0   1   1   1   1 # 228 # 929 # -1 # ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.282
Sp_647675897_NZ_DS999947|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria_4         -          PC_00004             PC_00004     1.8e-70  229.1   1.1   2.3e-70  228.8   1.1   1.0   1   0   0   1   1   1   1 # 2508 # 3536 # -1 # ID=3_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1 -          PC_00004             PC_00004     1.3e-19   61.8   0.4   1.9e-19   61.3   0.4   1.1   1   0   0   1   1   1   1 # 228 # 929 # -1 # ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.282
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1 -          PC_00005             PC_00005     6.8e-11   33.1   0.5   4.4e-10   30.5   0.1   2.3   2   1   0   2   2   2   1 # 228 # 929 # -1 # ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.282
Sp_647675897_NZ_DS999947|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria_4         -          PC_00005             PC_00005     2.7e-07   21.3   1.2     4e-07   20.7   1.0   1.5   2   0   0   2   2   2   1 # 2508 # 3536 # -1 # ID=3_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1 -          PC_00012             PC_00012     5.3e-17   53.4   1.9   6.6e-17   53.1   1.9   1.1   1   0   0   1   1   1   1 # 228 # 929 # -1 # ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.282
Sp_647675897_NZ_DS999947|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria_4         -          PC_00012             PC_00012     7.8e-14   42.9   1.4   1.4e-13   42.1   1.4   1.5   1   1   0   1   1   1   1 # 2508 # 3536 # -1 # ID=3_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1 -          PC_00013             PC_00013     5.1e-11   33.9   3.6   8.9e-11   33.1   3.6   1.4   1   1   0   1   1   1   1 # 228 # 929 # -1 # ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.282
Sp_2649552884_Ga0072392_105|Bacteria;Tenericutes;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma_7      -          PC_00013             PC_00013     0.00029   11.8   7.7   0.00033   11.6   7.5   1.3   1   1   0   1   1   1   1 # 3613 # 4065 # -1 # ID=2_7;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.199
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1 -          PC_00014             PC_00014     1.4e-19   61.9   0.1   1.6e-19   61.6   0.1   1.0   1   0   0   1   1   1   1 # 228 # 929 # -1 # ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.282
Sp_647675897_NZ_DS999947|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria_4         -          PC_00014             PC_00014     0.00012   12.8   2.5      0.01    6.4   1.0   2.1   1   1   1   2   2   2   2 # 2508 # 3536 # -1 # ID=3_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
Sp_647675897_NZ_DS999947|Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria_4         -          PC_00017             PC_00017     1.9e-56  182.9   0.1   2.5e-56  182.6   0.1   1.0   1   0   0   1   1   1   1 # 2508 # 3536 # -1 # ID=3_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.493
Sp_2554715287_K670DRAFT_AQQF01000003_1.3|Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_1 -          PC_00017             PC_00017     2.8e-16   50.8   7.1   6.1e-16   49.7   7.1   1.5   1   1   0   1   1   1   1 # 228 # 929 # -1 # ID=1_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.282
